,Game,winner,winner.pred,winner.conf,WResult,Date
225,arkansasst-southalabama,southalabama,southalabama,0.724114,1,1/9/2020
226,belmont-sems,belmont,belmont,0.877613,1,1/9/2020
227,washington-stanford,stanford,stanford,0.63172,1,1/9/2020
228,tennesseest-tennesseemartin,tennesseemartin,tennesseemartin,0.918162,1,1/9/2020
229,austinpeay-tennesseetech,austinpeay,austinpeay,0.926919,1,1/9/2020
230,appalachianst-texasarlington,texasarlington,texasarlington,0.818758,1,1/9/2020
231,coastalcarolina-texasst,texasst,texasst,0.676861,1,1/9/2020
232,drexel-towson,towson,towson,0.758775,1,1/9/2020
233,arkansaslittlerock-troy,troy,troy,0.592136,1,1/9/2020
234,westernkentucky-uab,uab,westernkentucky,0.749514,0,1/9/2020
235,ucriverside-ucdavis,ucriverside,ucdavis,0.785282,0,1/9/2020
236,somiss-utep,utep,utep,0.781701,1,1/9/2020
237,louisianatech-utsa,utsa,louisianatech,0.733466,0,1/9/2020
238,northerncolorado-weberst,northerncolorado,northerncolorado,0.620993,1,1/9/2020
239,memphis-wichitast,wichitast,wichitast,0.786493,1,1/9/2020
240,oakland-youngstownst,youngstownst,youngstownst,0.811969,1,1/9/2020
241,ballst-akron,akron,akron,0.84522,1,1/10/2020
242,manhattan-fairfiield,fairfiield,manhattan,0.51355,0,1/10/2020
243,maryland-iowa,iowa,iowa,0.812386,1,1/10/2020
244,wrightst-iupui,wrightst,wrightst,0.784108,1,1/10/2020
245,buffalo-miamioh,buffalo,miamioh,0.590626,0,1/10/2020
246,canisius-monmouth,monmouth,monmouth,0.773993,1,1/10/2020
247,pennsylvania-princeton,princeton,princeton,0.667338,1,1/10/2020
248,butler-providence,butler,butler,0.678203,1,1/10/2020
249,niagara-quinnipiac,quinnipiac,quinnipiac,0.882872,1,1/10/2020
250,iona-rider,iona,rider,0.755505,0,1/10/2020
251,northernkentucky-illinoischicago,northernkentucky,illinoischicago,0.52553,0,1/10/2020
252,southalabama-arkansaslittlerock,southalabama,southalabama,0.615864,1,1/11/2020
253,troy-arkansasst,arkansasst,arkansasst,0.880416,1,1/11/2020
254,georgia-auburn,auburn,auburn,0.78135,1,1/11/2020
255,georgiatech-bostoncollege,georgiatech,bostoncollege,0.576839,0,1/11/2020
256,southernillinois-bradley,bradley,bradley,0.823811,1,1/11/2020
257,portland-byu,byu,byu,0.961762,1,1/11/2020
258,calstnorthridge-calpoly,calpoly,calstnorthridge,0.626905,0,1/11/2020
259,washington-cal,cal,washington,0.725057,0,1/11/2020
260,cincinnati-ucf,cincinnati,ucf,0.738581,0,1/11/2020
261,olddominion-charlotte,charlotte,charlotte,0.912359,1,1/11/2020
262,samford-chattanooga,chattanooga,chattanooga,0.735096,1,1/11/2020
263,oakland-clevelandst,oakland,clevelandst,0.521841,0,1/11/2020
264,stjoes-davidson,davidson,davidson,0.892866,1,1/11/2020
265,massachusetts-dayton,dayton,dayton,0.973307,1,1/11/2020
266,wakeforest-duke,duke,duke,0.947145,1,1/11/2020
267,someth-eastcarolina,eastcarolina,someth,0.80597,0,1/11/2020
268,vmi-etsu,etsu,etsu,0.695496,1,1/11/2020
269,siuedwardsville-easternkentucky,easternkentucky,easternkentucky,0.541532,1,1/11/2020
270,ncgreensboro-furman,ncgreensboro,furman,0.821627,0,1/11/2020
271,duquesne-georgewashington,duquesne,duquesne,0.612967,1,1/11/2020
272,louisianalafayette-georgiasouthern,georgiasouthern,georgiasouthern,0.665856,1,1/11/2020
273,louisianamonroe-georgiast,georgiast,georgiast,0.864544,1,1/11/2020
274,rutgers-illinois,illinois,illinois,0.727814,1,1/11/2020
275,ohiost-indiana,indiana,ohiost,0.524053,0,1/11/2020
276,illinoisst-indianast,indianast,indianast,0.929501,1,1/11/2020
277,oklahoma-iowast,iowast,iowast,0.726413,1,1/11/2020
278,southdakotast-ipfw,southdakotast,ipfw,0.725725,0,1/11/2020
279,austinpeay-jacksonvillest,austinpeay,austinpeay,0.622602,1,1/11/2020
280,drexel-jamesmadison,drexel,jamesmadison,0.717774,0,1/11/2020
281,baylor-kansas,baylor,kansas,0.816065,0,1/11/2020
282,centralmichigan-kentst,kentst,kentst,0.686762,1,1/11/2020
283,alabama-kentucky,kentucky,kentucky,0.717384,1,1/11/2020
284,georgemason-lasalle,georgemason,lasalle,0.63697,0,1/11/2020
285,evansville-loyolachicago,loyolachicago,loyolachicago,0.628989,1,1/11/2020
286,gonzaga-loyolamarymount,gonzaga,gonzaga,0.883819,1,1/11/2020
287,mississippist-lsu,lsu,lsu,0.714993,1,1/11/2020
288,westernkentucky-mtsu,westernkentucky,westernkentucky,0.673279,1,1/11/2020
289,arkansas-mississippi,arkansas,mississippi,0.605033,0,1/11/2020
290,florida-missouri,missouri,florida,0.60163,0,1/11/2020
291,northerniowa-missourist,northerniowa,northerniowa,0.651392,1,1/11/2020
292,portlandst-montanast,portlandst,portlandst,0.546875,1,1/11/2020
293,easternillinois-moreheadst,moreheadst,easternillinois,0.616959,0,1/11/2020
294,airforce-newmexico,newmexico,newmexico,0.714244,1,1/11/2020
295,umkc-nmsu,nmsu,nmsu,0.968627,1,1/11/2020
296,clemson-unc,clemson,unc,0.717253,0,1/11/2020
297,floridaatlantic-northtexas,northtexas,northtexas,0.665484,1,1/11/2020
298,idahost-northernarizona,idahost,northernarizona,0.828574,0,1/11/2020
299,easternmichigan-northernillinois,northernillinois,northernillinois,0.871912,1,1/11/2020
