"","Game","total.result","total.pred","total.conf","TResult","Date","Round"
"284","georgemason-lasalle","Over","Under",0.810012,0,0001-11-20,0.81
"285","evansville-loyolachicago","Under","Under",0.508377,1,0001-11-20,0.51
"286","gonzaga-loyolamarymount","Over","Over",0.567537,1,0001-11-20,0.57
"287","mississippist-lsu","Under","Under",0.61141,1,0001-11-20,0.61
"288","westernkentucky-mtsu","Under","Under",0.754842,1,0001-11-20,0.75
"289","arkansas-mississippi","Over","Under",0.666347,0,0001-11-20,0.67
"290","florida-missouri","Over","Under",0.583928,0,0001-11-20,0.58
"291","northerniowa-missourist","Over","Under",0.636639,0,0001-11-20,0.64
"292","portlandst-montanast","Over","Under",0.725365,0,0001-11-20,0.73
"293","easternillinois-moreheadst","Under","Under",0.711065,1,0001-11-20,0.71
"294","airforce-newmexico","Over","Over",0.60262,1,0001-11-20,0.6
"295","umkc-nmsu","Over","Under",0.550569,0,0001-11-20,0.55
"296","clemson-unc","Over","Under",0.72984,0,0001-11-20,0.73
"297","floridaatlantic-northtexas","Over","Under",0.666461,0,0001-11-20,0.67
"298","idahost-northernarizona","Over","Under",0.768355,0,0001-11-20,0.77
"299","easternmichigan-northernillinois","Over","Under",0.725992,0,0001-11-20,0.73
"300","nebraska-northwestern","Under","Under",0.765112,1,0001-11-20,0.77
"301","louisville-notredame","Under","Over",0.551085,0,0001-11-20,0.55
"302","bowlinggreen-ohio","Over","Under",0.726404,0,0001-11-20,0.73
"303","northdakota-oralroberts","Over","Under",0.580022,0,0001-11-20,0.58
"304","arizonast-oregon","Over","Under",0.528759,0,0001-11-20,0.53
"305","sanfrancisco-pacific","Over","Over",0.503635,1,0001-11-20,0.5
"306","wisconsin-pennst","Under","Over",0.647261,0,0001-11-20,0.65
"307","floridainternational-rice","Over","Under",0.804985,0,0001-11-20,0.8
"308","stlouis-richmond","Under","Under",0.510899,1,0001-11-20,0.51
"309","weberst-sacramentost","Over","Under",0.510538,0,0001-11-20,0.51
"310","santaclara-stmarys","Under","Over",0.660501,0,0001-11-20,0.66
"311","pepperdine-sandiego","Over","Under",0.805092,0,0001-11-20,0.81
"312","coloradost-sanjosest","Over","Under",0.723554,0,0001-11-20,0.72
"313","utahvalleyst-seattle","Under","Under",0.73607,1,0001-11-20,0.74
"314","marquette-setonhall","Under","Over",0.635353,0,0001-11-20,0.64
"315","nebraskaomaha-southdakota","Over","Under",0.762888,0,0001-11-20,0.76
"316","tennesseest-sems","Over","Under",0.880025,0,0001-11-20,0.88
"317","fordham-stbonaventure","Under","Under",0.808113,1,0001-11-20,0.81
"318","depaul-stjohns","Under","Under",0.544623,1,0001-11-20,0.54
"319","washingtonst-stanford","Over","Under",0.542999,0,0001-11-20,0.54
"320","oklahomast-tcu","Under","Over",0.579032,0,0001-11-20,0.58
"321","tulane-temple","Under","Under",0.669783,1,0001-11-20,0.67
"322","southcarolina-tennessee","Under","Under",0.63766,1,0001-11-20,0.64
"323","belmont-tennesseemartin","Over","Over",0.516247,1,0001-11-20,0.52
"324","murrayst-tennesseetech","Over","Under",0.867962,0,0001-11-20,0.87
"325","kansasst-texas","Under","Under",0.638804,1,0001-11-20,0.64
"326","coastalcarolina-texasarlington","Over","Under",0.705674,0,0001-11-20,0.71
"327","appalachianst-texasst","Over","Under",0.794508,0,0001-11-20,0.79
"328","westernmichigan-toledo","Under","Under",0.61359,1,0001-11-20,0.61
"329","delaware-towson","Over","Under",0.521255,0,0001-11-20,0.52
"330","houston-tulsa","Under","Under",0.505774,1,0001-11-20,0.51
"331","lbsu-ucsb","Under","Under",0.71044,1,0001-11-20,0.71
"332","hawaii-ucirvine","Under","Under",0.669936,1,0001-11-20,0.67
"333","calstfullerton-ucriverside","Under","Under",0.788268,1,0001-11-20,0.79
"334","usc-ucla","Under","Over",0.773009,0,0001-11-20,0.77
"335","nevada-utahst","Over","Over",0.581521,1,0001-11-20,0.58
"336","louisianatech-utep","Under","Over",0.58128,0,0001-11-20,0.58
"337","somiss-utsa","Over","Under",0.856679,0,0001-11-20,0.86
"338","drake-valparaiso","Under","Under",0.655949,1,0001-11-20,0.66
"339","texasam-vanderbilt","Under","Over",0.782293,0,0001-11-20,0.78
"340","rhodeisland-vcu","Under","Over",0.707552,0,0001-11-20,0.71
"341","georgetown-villanova","Under","Over",0.562212,0,0001-11-20,0.56
"342","syracuse-virginia","Over","Under",0.592734,0,0001-11-20,0.59
"343","ncst-virginiatech","Under","Over",0.550434,0,0001-11-20,0.55
"344","texastech-westvirginia","Under","Over",0.606832,0,0001-11-20,0.61
"345","mercer-westerncarolina","Under","Under",0.622091,1,0001-11-20,0.62
"346","denver-westernillinois","Over","Under",0.832869,0,0001-11-20,0.83
"347","citadel-wofford","Under","Under",0.658114,1,0001-11-20,0.66
"348","unlv-wyoming","Over","Under",0.865886,0,0001-11-20,0.87
"349","creighton-xavier","Under","Under",0.639304,1,0001-11-20,0.64
"350","detroit-youngstownst","Under","Under",0.819771,1,0001-11-20,0.82
